,USERID,ORDERDATE,ORDERID,AMOUNTINFO
403,63133,2018-01-02,4162214824,19.9
404,123163,2018-01-02,4076618343,19.9
405,119834,2018-01-02,4196049262,19.9
406,155140,2018-01-02,4199034976,19.0
407,84969,2018-01-02,4110404004,18.8
408,111663,2018-01-02,4107225042,18.8
409,93314,2018-01-02,4102348470,18.2
410,158810,2018-01-02,3996620761,17.5
411,125839,2018-01-02,4126029301,16.5
412,65616,2018-01-02,4195514884,15.5
413,113609,2018-01-02,4187532849,15.0
414,142641,2018-01-02,4110634411,15.0
415,132446,2018-01-02,4117133337,13.9
416,148659,2018-01-02,4175127966,13.9
417,78051,2018-01-02,4155578875,13.9
418,69741,2018-01-02,4107207922,12.9
419,154434,2018-01-02,4194865891,12.9
420,105028,2018-01-02,4110169926,11.9
421,153282,2018-01-02,4079750296,11.9
422,105923,2018-01-02,4102075385,11.9
423,155240,2018-01-02,4201495667,11.9
424,72823,2018-01-02,4191809064,11.9
425,63904,2018-01-02,4194381145,11.9
426,120241,2018-01-02,4181055350,11.9
427,76325,2018-01-02,4021630595,10.9
428,91369,2018-01-02,4104159504,10.9
429,138735,2018-01-02,4109031440,9.9
430,89315,2018-01-02,4195942023,9.9
431,148652,2018-01-02,4104900792,9.9
432,98841,2018-01-02,4105973087,9.9
433,82520,2018-01-02,4104280189,9.9
434,110554,2018-01-02,4122713317,9.9
435,156635,2018-01-02,4102076734,9.9
436,127715,2018-01-02,4121154824,9.9
437,118308,2018-01-02,3979852635,9.9
438,157758,2018-01-02,4175087129,9.9
439,153311,2018-01-02,4082424295,9.9
440,163020,2018-01-02,4106498980,9.9
441,152534,2018-01-02,4106943198,9.9
442,105871,2018-01-02,4107636766,9.9
443,104105,2018-01-02,4111161815,9.9
444,102555,2018-01-02,4106128277,9.9
445,124157,2018-01-02,4099006908,9.9
446,69661,2018-01-02,3982610369,9.9
447,94913,2018-01-02,4098488894,9.9
448,123264,2018-01-02,4109831524,9.9
449,57663,2018-01-02,4202335849,9.9
450,116011,2018-01-02,4191656438,9.9
451,88475,2018-01-02,4104711255,9.9
452,103613,2018-01-02,4194822218,9.8
453,150153,2018-01-02,4194656302,8.9
454,61049,2018-01-02,4107410649,8.9
455,88542,2018-01-02,4104658515,8.9
456,144550,2018-01-02,4098085414,8.9
457,86956,2018-01-02,4140021830,8.9
458,139708,2018-01-02,4097126709,8.9
459,151876,2018-01-02,4109082809,8.6
460,124596,2018-01-02,4144816603,8.6
461,117830,2018-01-02,3971399219,7.8
462,150304,2018-01-02,4105528212,7.8
463,117096,2018-01-02,4109082733,7.8
464,100793,2018-01-02,4197067506,7.8
465,117543,2018-01-02,3980777542,6.9
466,60480,2018-01-02,4037377467,6.9
467,92879,2018-01-02,4109307069,6.9
468,97969,2018-01-02,4144902255,6.3
469,89640,2018-01-02,4197717726,6.3
470,149991,2018-01-02,4104088729,6.3
471,69192,2018-01-02,4099663591,6.0
472,55381,2018-01-02,4121347153,6.0
473,53239,2018-01-02,4127394603,6.0
474,98956,2018-01-02,4097326254,6.0
475,71368,2018-01-02,4034353274,5.9
476,82592,2018-01-02,4054603660,4.5
477,74164,2018-01-02,3979421239,4.2
478,149090,2018-01-02,4193699166,3.9
479,64521,2018-01-02,4195654607,0.5
480,105102,2018-01-02,4194501673,0.5
481,160718,2018-01-03,4191949427,7599.0
482,88038,2018-01-03,4194477262,5999.0
483,120118,2018-01-03,3238894589,5399.0
484,57369,2018-01-03,4195128611,5299.0
485,157676,2018-01-03,3674440932,4999.0
486,97320,2018-01-03,4195812158,4899.0
487,141244,2018-01-03,4199452126,4899.0
488,96966,2018-01-03,4197360757,4586.0
489,77504,2018-01-03,4200763183,4199.0
490,153868,2018-01-03,3759352193,4199.0
491,106674,2018-01-03,4191376598,3999.0
492,55618,2018-01-03,4193234629,3999.0
493,115064,2018-01-03,4201964314,3999.0
